Disease,Gene,Number of Publications
Coronary Artery Disease,TRPM1,1
Coronary Artery Disease,TRPS1,1
Coronary Artery Disease,TSLP,1
Coronary Artery Disease,TSPAN8,1
Coronary Artery Disease,TTC32,1
Coronary Artery Disease,TTC39B,1
Coronary Artery Disease,TTN,2
Coronary Artery Disease,TXN,1
Coronary Artery Disease,TXNIP,1
Coronary Artery Disease,TXNRD1,1
Coronary Artery Disease,TXNRD2,2
Coronary Artery Disease,TYMS,3
Coronary Artery Disease,UBE2Z,6
Coronary Artery Disease,UCP1,1
Coronary Artery Disease,UCP2,5
Coronary Artery Disease,UCP3,3
Coronary Artery Disease,UGT1A1,4
Coronary Artery Disease,UGT1A12P,1
Coronary Artery Disease,UMOD,1
Coronary Artery Disease,USF1,2
Coronary Artery Disease,USP45,1
Coronary Artery Disease,VAMP2,1
Coronary Artery Disease,VAMP3,2
Coronary Artery Disease,VAV3,1
Coronary Artery Disease,VCAM1,3
Coronary Artery Disease,VDR,19
Coronary Artery Disease,VEGF,1
Coronary Artery Disease,VEGFA,28
Coronary Artery Disease,VEGFC,1
Coronary Artery Disease,VIP,3
Coronary Artery Disease,VIPR1,1
Coronary Artery Disease,VKORC1,1
Coronary Artery Disease,VLDLR,1
Coronary Artery Disease,VPS13C,1
Coronary Artery Disease,VSIG2,1
Coronary Artery Disease,VWF,7
Coronary Artery Disease,WDHD1,1
Coronary Artery Disease,WDR12,6
Coronary Artery Disease,WDR35,1
Coronary Artery Disease,WRN,2
Coronary Artery Disease,WWOX,1
Coronary Artery Disease,XPO5,1
Coronary Artery Disease,XRCC1,10
Coronary Artery Disease,XRCC3,2
Coronary Artery Disease,XRCC4,1
Coronary Artery Disease,YEATS2,1
Coronary Artery Disease,YTHDF3,1
Coronary Artery Disease,ZBTB17,1
Coronary Artery Disease,ZBTB43,1
Coronary Artery Disease,ZC3HC1,5
Coronary Artery Disease,ZFAT,2
Coronary Artery Disease,ZFHX3,4
Coronary Artery Disease,ZFPM2,2
Coronary Artery Disease,ZHX2,1
Coronary Artery Disease,ZIC3,1
Coronary Artery Disease,ZNF208,1
Coronary Artery Disease,ZNF259,7
Coronary Artery Disease,ZNF347,1
Coronary Artery Disease,ZNF365,1
Coronary Artery Disease,ZNF385B,1
Coronary Artery Disease,ZNF410,1
Coronary Artery Disease,ZNF592,1
Coronary Artery Disease,ZNF627,1
Coronary Artery Disease,ZNF655,1
Coronary Artery Disease,ZNF750,1
Crohn's Disease,ABCB1,33
Crohn's Disease,ABCC5,1
Crohn's Disease,ABCF2,1
Crohn's Disease,ABCG2,1
Crohn's Disease,ABLIM1,1
Crohn's Disease,ABO,3
Crohn's Disease,ACADM,1
Crohn's Disease,ACADS,1
Crohn's Disease,ACE,4
Crohn's Disease,ACP1,2
Crohn's Disease,ADA,2
Crohn's Disease,ADAD1,3
Crohn's Disease,ADAM30,1
Crohn's Disease,ADCY3,1
Crohn's Disease,ADCY7,1
Crohn's Disease,ADRB2,1
Crohn's Disease,AGER,2
Crohn's Disease,AGMAT,1
Crohn's Disease,AGR2,1
Crohn's Disease,AHR,4
Crohn's Disease,AIF1,1
Crohn's Disease,AIM1,1
Crohn's Disease,AKR1C1,1
Crohn's Disease,AKT1,1
Crohn's Disease,ALB,1
Crohn's Disease,ALK,1
Crohn's Disease,ALOX5,1
Crohn's Disease,ALPL,1
Crohn's Disease,AMD1,1
Crohn's Disease,AMIGO3,1
Crohn's Disease,AMT,1
Crohn's Disease,ANAPC13,1
Crohn's Disease,ANGPT1,1
Crohn's Disease,ANKRD55,1
Crohn's Disease,AOX1,1
Crohn's Disease,APC,3
Crohn's Disease,APEH,1
Crohn's Disease,APOE,2
Crohn's Disease,ARHGEF2,1
Crohn's Disease,ARHGEF6,1
Crohn's Disease,ARMC2,1
Crohn's Disease,ARMS2,1
Crohn's Disease,ARPC1A,1
Crohn's Disease,ARPC2,1
Crohn's Disease,ASCC3,1
Crohn's Disease,ATG10,1
Crohn's Disease,ATG12,1
Crohn's Disease,ATG16L1,94
Crohn's Disease,ATG16L2,2
Crohn's Disease,ATG4A,2
Crohn's Disease,ATG4D,1
Crohn's Disease,ATG5,2
Crohn's Disease,ATIC,1
Crohn's Disease,ATXN2L,1
Crohn's Disease,B4GALT1,1
Crohn's Disease,BACH2,2
Crohn's Disease,BANK1,2
Crohn's Disease,BASP1,1
Crohn's Disease,BAZ1A,1
Crohn's Disease,BCL11A,1
Crohn's Disease,BCL3,1
Crohn's Disease,BEND3,1
Crohn's Disease,BMP2,1
Crohn's Disease,BPI,3
Crohn's Disease,BRAF,3
Crohn's Disease,BRCA1,1
Crohn's Disease,BRCA2,1
Crohn's Disease,BRD7,1
Crohn's Disease,BRWD1,1
Crohn's Disease,BSN,7
Crohn's Disease,BTNL2,10
Crohn's Disease,C10orf67,1
Crohn's Disease,C11orf30,5
Crohn's Disease,C12orf30,1
Crohn's Disease,C13orf31,5
Crohn's Disease,C16orf75,1
Crohn's Disease,C17orf37,1
Crohn's Disease,C19orf10,1
Crohn's Disease,C1orf106,3
Crohn's Disease,C1orf81,1
Crohn's Disease,C2,1
Crohn's Disease,C2orf65,1
Crohn's Disease,C4A,1
Crohn's Disease,C5,1
Crohn's Disease,C5orf56,5
Crohn's Disease,C6orf10,1
Crohn's Disease,C6orf106,1
Crohn's Disease,C6orf203,1
Crohn's Disease,C6orf204,1
Crohn's Disease,C8orf85,1
Crohn's Disease,CACNA2D1,1
Crohn's Disease,CADM1,1
Crohn's Disease,CALCOCO2,1
Crohn's Disease,CAPN8,1
Crohn's Disease,CARD15,190
Crohn's Disease,CARD4,7
Crohn's Disease,CARD8,10
Crohn's Disease,CARD9,7
Crohn's Disease,CASP9,6
Crohn's Disease,CAT,2
Crohn's Disease,CCDC122,1
Crohn's Disease,CCDC22,1
Crohn's Disease,CCDC91,1
Crohn's Disease,CCHCR1,1
Crohn's Disease,CCL11,1
Crohn's Disease,CCL13,1
Crohn's Disease,CCL2,9
Crohn's Disease,CCL21,1
Crohn's Disease,CCL3,1
Crohn's Disease,CCL3L1,1
Crohn's Disease,CCL4L1,1
Crohn's Disease,CCL7,2
Crohn's Disease,CCND1,1
Crohn's Disease,CCNY,8
Crohn's Disease,CCR2,1
Crohn's Disease,CCR5,7
Crohn's Disease,CCR6,5
Crohn's Disease,CD14,16
Crohn's Disease,CD19,2
Crohn's Disease,CD207,1
Crohn's Disease,CD209,2
Crohn's Disease,CD24,3
Crohn's Disease,CD247,1
Crohn's Disease,CD274,1
Crohn's Disease,CD3E,1
Crohn's Disease,CD40,2
Crohn's Disease,CD40LG,1
Crohn's Disease,CD58,1
Crohn's Disease,CD8A,1
Crohn's Disease,CDH1,4
Crohn's Disease,CDH29,1
Crohn's Disease,CDK11A,1
Crohn's Disease,CDK6,2
Crohn's Disease,CDKAL1,11
Crohn's Disease,CDKN2A,1
Crohn's Disease,CDKN2B,2
Crohn's Disease,CEACAM6,1
Crohn's Disease,CENPW,1
Crohn's Disease,CEP63,1
Crohn's Disease,CEP72,1
Crohn's Disease,CFH,1
Crohn's Disease,CFHR1,1
Crohn's Disease,CFHR3,1
Crohn's Disease,CFTR,1
Crohn's Disease,CHRNA5,1
Crohn's Disease,CIITA,1
Crohn's Disease,CLCA2,1
Crohn's Disease,CLDN1,1
Crohn's Disease,CLDN2,1
Crohn's Disease,CLDN4,1
Crohn's Disease,CLEC10A,1
Crohn's Disease,CLEC16A,2
Crohn's Disease,CLEC1B,1
Crohn's Disease,CLEC2D,2
Crohn's Disease,CLEC4A,1
Crohn's Disease,CLEC5A,1
Crohn's Disease,CLEC7A,2
Crohn's Disease,CLIC1,1
Crohn's Disease,CLN3,1
Crohn's Disease,CLSTN2,2
Crohn's Disease,CNR1,2
Crohn's Disease,CNR2,2
Crohn's Disease,CNTN5,1
Crohn's Disease,COG6,1
Crohn's Disease,COL1A1,1
Crohn's Disease,COL5A1,1
Crohn's Disease,COL8A2,1
Crohn's Disease,COMT,1
Crohn's Disease,COX11,1
Crohn's Disease,COX8A,2
Crohn's Disease,CPAMD8,1
Crohn's Disease,CPEB4,1
Crohn's Disease,CPS1,1
Crohn's Disease,CREM,3
Crohn's Disease,CRP,7
Crohn's Disease,CRTC3,1
Crohn's Disease,CSF1R,1
Crohn's Disease,CSF2,1
Crohn's Disease,CSF2RB,2
Crohn's Disease,CSF3,1
Crohn's Disease,CTGF,1
Crohn's Disease,CTLA4,14
Crohn's Disease,CTSH,1
Crohn's Disease,CUL2,3
Crohn's Disease,CUX2,1
Crohn's Disease,CX3CR1,1
Crohn's Disease,CXCL11,1
Crohn's Disease,CXCL12,2
Crohn's Disease,CXCL14,1
Crohn's Disease,CXCL16,2
Crohn's Disease,CXCL5,2
Crohn's Disease,CXCL9,1
Crohn's Disease,CXCR1,2
Crohn's Disease,CXCR2,1
Crohn's Disease,CXCR4,1
Crohn's Disease,CXCR5,1
Crohn's Disease,CXCR6,1
Crohn's Disease,CYBA,1
Crohn's Disease,CYBB,1
Crohn's Disease,CYLD,1
Crohn's Disease,CYP1A1,1
Crohn's Disease,CYP2A6,1
Crohn's Disease,CYP2D6,2
Crohn's Disease,CYP3A4,1
Crohn's Disease,CYP4F2,1
Crohn's Disease,CYP4F3,2
Crohn's Disease,DAG1,1
Crohn's Disease,DAGLB,1
Crohn's Disease,DAO,1
Crohn's Disease,DAP,2
Crohn's Disease,DAPK1,1
Crohn's Disease,DARC,1
Crohn's Disease,DBP,1
Crohn's Disease,DCBLD1,1
Crohn's Disease,DCC,1
Crohn's Disease,DCTN5,1
Crohn's Disease,DDO,1
Crohn's Disease,DEFA1A3,1
Crohn's Disease,DEFA5,2
Crohn's Disease,DEFA6,1
Crohn's Disease,DEFB1,4
Crohn's Disease,DEFB4,1
Crohn's Disease,DENND1B,1
Crohn's Disease,DERL3,1
Crohn's Disease,DIO1,1
Crohn's Disease,DLD,1
Crohn's Disease,DLG5,30
Crohn's Disease,DMBT1,2
Crohn's Disease,DNAH12,2
Crohn's Disease,DNAH5,1
Crohn's Disease,DNASE1,1
Crohn's Disease,DNMT3A,1
Crohn's Disease,DOCK3,1
Crohn's Disease,DRD2,1
Crohn's Disease,DSE,1
Crohn's Disease,DUOX2,2
Crohn's Disease,ECM1,3
Crohn's Disease,EFEMP1,1
Crohn's Disease,EGFR,1
Crohn's Disease,EIF2AK2,1
Crohn's Disease,EIF4H,1
Crohn's Disease,ELF1,1
Crohn's Disease,ELMO1,1
Crohn's Disease,ELOVL2,1
Crohn's Disease,EML4,1
Crohn's Disease,ENPEP,1
Crohn's Disease,ENTPD5,1
Crohn's Disease,EP300,1
Crohn's Disease,EPHX1,2
Crohn's Disease,EPX,1
Crohn's Disease,ERAP1,2
Crohn's Disease,ERAP2,1
Crohn's Disease,ERBB2,3
Crohn's Disease,ERBB3,2
Crohn's Disease,ESR1,1
Crohn's Disease,ETFDH,1
Crohn's Disease,ETV6,1
Crohn's Disease,EXOC2,1
Crohn's Disease,F11R,1
Crohn's Disease,F13A1,2
Crohn's Disease,F2,7
Crohn's Disease,F5,11
Crohn's Disease,FAAH,2
Crohn's Disease,FADS1,2
Crohn's Disease,FADS2,1
Crohn's Disease,FAF1,3
Crohn's Disease,FAM135A,1
Crohn's Disease,FAM167A,1
Crohn's Disease,FAM184A,1
Crohn's Disease,FAM26F,1
Crohn's Disease,FAM92B,3
Crohn's Disease,FAS,5
Crohn's Disease,FASLG,6
Crohn's Disease,FAT4,1
Crohn's Disease,FBXO38,1
Crohn's Disease,FBXW7,1
Crohn's Disease,FCGR2A,6
Crohn's Disease,FCGR3A,9
Crohn's Disease,FCHSD2,1
Crohn's Disease,FCRL3,2
Crohn's Disease,FERMT1,1
Crohn's Disease,FGF19,1
Crohn's Disease,FGFR1,1
Crohn's Disease,FGFR1OP,2
Crohn's Disease,FGFR2,1
Crohn's Disease,FIG4,1
Crohn's Disease,FIS1,1
Crohn's Disease,FKBP5,2
Crohn's Disease,FLG,1
Crohn's Disease,FLJ45139,3
Crohn's Disease,FNBP1L,1
Crohn's Disease,FOS,1
Crohn's Disease,FOXO3,5
Crohn's Disease,FOXP2,1
Crohn's Disease,FOXP3,1
Crohn's Disease,FRK,1
Crohn's Disease,FUT2,14
Crohn's Disease,FUT3,2
Crohn's Disease,FUT8,1
Crohn's Disease,FXR1,1
Crohn's Disease,FYN,2
Crohn's Disease,G0S2,1
Crohn's Disease,GABRE,1
Crohn's Disease,GALNT2,1
Crohn's Disease,GATA6,1
Crohn's Disease,GCKR,7
Crohn's Disease,GGH,1
Crohn's Disease,GJA1,1
Crohn's Disease,GLI1,2
Crohn's Disease,GLS2,1
Crohn's Disease,GMPPB,1
Crohn's Disease,GNA12,1
Crohn's Disease,GP2,2
Crohn's Disease,GPC5,3
Crohn's Disease,GPR161,1
Crohn's Disease,GPR3,1
Crohn's Disease,GPR35,2
Crohn's Disease,GPR6,1
Crohn's Disease,GPR65,2
Crohn's Disease,GPSM3,1
Crohn's Disease,GPX1,3
Crohn's Disease,GRB2,1
Crohn's Disease,GRB7,1
Crohn's Disease,GRIK2,1
Crohn's Disease,GSDMA,2
Crohn's Disease,GSDMB,5
Crohn's Disease,GSTA1,1
Crohn's Disease,GSTK1,1
Crohn's Disease,GSTM1,10
Crohn's Disease,GSTP1,3
Crohn's Disease,GSTT1,11
Crohn's Disease,GTF3C6,1
Crohn's Disease,GYPA,1
Crohn's Disease,HACE1,1
Crohn's Disease,HAVCR2,1
Crohn's Disease,HDAC11,1
Crohn's Disease,HDAC2,1
Crohn's Disease,HEATR3,1
Crohn's Disease,HEBP1,1
Crohn's Disease,HERC2,6
Crohn's Disease,HES6,1
Crohn's Disease,HFE2,1
Crohn's Disease,HHIP,1
Crohn's Disease,HIST1H1D,1
Crohn's Disease,HLA-A,1
Crohn's Disease,HLA-B,11
Crohn's Disease,HLA-C,9
Crohn's Disease,HLA-DPA1,1
Crohn's Disease,HLA-DQA1,4
Crohn's Disease,HLA-DQA2,1
Crohn's Disease,HLA-DQB1,5
Crohn's Disease,HLA-DRA,4
Crohn's Disease,HLA-DRB1,26
Crohn's Disease,HLA-DRB4,1
Crohn's Disease,HLA-G,1
Crohn's Disease,HMG20A,1
Crohn's Disease,HMGCS2,1
Crohn's Disease,HMOX1,3
Crohn's Disease,HNF4A,4
Crohn's Disease,HORMAD2,1
Crohn's Disease,HP,4
Crohn's Disease,HPRT1,1
Crohn's Disease,HPS5,1
Crohn's Disease,HSF2,1
Crohn's Disease,HSPA1A,1
Crohn's Disease,HSPA1B,4
Crohn's Disease,HSPA1L,1
Crohn's Disease,HSPA2,2
Crohn's Disease,HSPA4,1
Crohn's Disease,HTATIP2,1
Crohn's Disease,IBD5,25
Crohn's Disease,ICAM1,10
Crohn's Disease,ICOSLG,8
Crohn's Disease,IDH1,1
Crohn's Disease,IDO1,2
Crohn's Disease,IDO2,1
Crohn's Disease,IFNA1,1
Crohn's Disease,Ifng,1
Crohn's Disease,IFNG,11
Crohn's Disease,IFNGR1,1
Crohn's Disease,IFNGR2,3
Crohn's Disease,IGHG1,1
Crohn's Disease,IHH,1
Crohn's Disease,IKZF1,2
Crohn's Disease,IKZF3,2
Crohn's Disease,Il10,1
Crohn's Disease,IL10,45
Crohn's Disease,IL10RA,4
Crohn's Disease,IL10RB,3
Crohn's Disease,IL11,2
Crohn's Disease,IL12B,34
Crohn's Disease,IL12RB2,2
Crohn's Disease,IL13,2
Crohn's Disease,IL15RA,1
Crohn's Disease,IL16,2
Crohn's Disease,IL17A,6
Crohn's Disease,IL17F,5
Crohn's Disease,IL18,13
Crohn's Disease,IL18RAP,8
Crohn's Disease,IL19,1
Crohn's Disease,IL1A,4
Crohn's Disease,IL1B,20
Crohn's Disease,IL1R1,4
Crohn's Disease,IL1R2,2
Crohn's Disease,IL1RL1,1
Crohn's Disease,IL1RN,14
Crohn's Disease,IL2,8
Crohn's Disease,IL21,4
Crohn's Disease,IL22,2
Crohn's Disease,IL22RA1,1
Crohn's Disease,IL23A,2
Crohn's Disease,IL23R,130
Crohn's Disease,IL26,2
Crohn's Disease,IL27,6
Crohn's Disease,IL2RA,5
Crohn's Disease,IL2RB,2
Crohn's Disease,IL33,1
Crohn's Disease,IL37,2
Crohn's Disease,IL4,6
Crohn's Disease,IL4R,1
Crohn's Disease,IL5,2
Crohn's Disease,IL6,19
Crohn's Disease,IL6R,3
Crohn's Disease,IL6ST,1
Crohn's Disease,IL6STP,1
Crohn's Disease,IL7R,1
Crohn's Disease,IL8,4
Crohn's Disease,IL9,1
Crohn's Disease,IMPDH2,1
Crohn's Disease,INPP5B,1
Crohn's Disease,INPP5D,1
Crohn's Disease,IP6K1,1
Crohn's Disease,IRAK1,1
Crohn's Disease,IRAK3,1
Crohn's Disease,IRAK4,1
Crohn's Disease,IRF1,2
Crohn's Disease,IRF5,4
Crohn's Disease,IRGM,43
Crohn's Disease,ISX,1
Crohn's Disease,ITGAL,1
Crohn's Disease,ITGAM,1
Crohn's Disease,ITGB3,1
Crohn's Disease,ITLN1,8
Crohn's Disease,ITPA,5
Crohn's Disease,IVD,1
Crohn's Disease,JAK2,19
Crohn's Disease,JAKMIP1,1
Crohn's Disease,JAZF1,1
Crohn's Disease,KAT2A,1
Crohn's Disease,KCNN4,1
Crohn's Disease,KCNQ2,1
Crohn's Disease,KIAA0391,1
Crohn's Disease,KIAA1109,2
Crohn's Disease,KIF21B,2
Crohn's Disease,KIF3B,1
Crohn's Disease,KIF5A,1
Crohn's Disease,KIR2DL1,1
Crohn's Disease,KIR2DL2,2
Crohn's Disease,KIR2DL3,2
Crohn's Disease,KIR2DS1,1
Crohn's Disease,KIR2DS2,1
Crohn's Disease,KIR2DS3,1
Crohn's Disease,KIR2DS4,1
Crohn's Disease,KIR2DS5,1
Crohn's Disease,KIR3DL1,1
Crohn's Disease,KIR3DL2,2
Crohn's Disease,KLHDC1,1
Crohn's Disease,KLKB1,1
Crohn's Disease,KPNA5,1
Crohn's Disease,KPNA7,1
Crohn's Disease,KRAS,6
Crohn's Disease,KRT38,1
Crohn's Disease,LACC1,6
Crohn's Disease,LACE1,1
Crohn's Disease,LACTB,1
Crohn's Disease,LAMA4,1
Crohn's Disease,LAMB1,2
Crohn's Disease,LAT2,1
Crohn's Disease,LBP,1
Crohn's Disease,LCE3B,1
Crohn's Disease,LCE3C,1
Crohn's Disease,LCN2,1
Crohn's Disease,LCT,5
Crohn's Disease,LIN28B,1
Crohn's Disease,LMAN1,1
Crohn's Disease,LOC100130480,1
Crohn's Disease,LOC100134413,1
Crohn's Disease,LOC100287218,1
Crohn's Disease,LOC100287879,1
Crohn's Disease,LOC341333,1
Crohn's Disease,LOC441915,1
Crohn's Disease,LOC728734,1
Crohn's Disease,LPIN2,1
Crohn's Disease,LRBA,1
Crohn's Disease,LRP1,1
Crohn's Disease,LRRC3C,1
Crohn's Disease,LRRK1,1
Crohn's Disease,LRRK2,8
Crohn's Disease,Lrrk2,1
Crohn's Disease,LSAMP,1
Crohn's Disease,LSP1,1
Crohn's Disease,LTA,8
Crohn's Disease,LY75,1
Crohn's Disease,LY86,1
Crohn's Disease,LY96,2
Crohn's Disease,LYRM4,7
Crohn's Disease,MACROD2,1
Crohn's Disease,MAF,1
Crohn's Disease,MAGI1,2
Crohn's Disease,MAGI2,3
Crohn's Disease,MAGI3,1
Crohn's Disease,MAN1A1,1
Crohn's Disease,MAP3K1,1
Crohn's Disease,MAP3K14,1
Crohn's Disease,MAP3K7,1
Crohn's Disease,MAP3K7IP1,1
Crohn's Disease,MAPK1,1
Crohn's Disease,MAPK14,1
Crohn's Disease,MAPT,1
Crohn's Disease,MARCKS,1
Crohn's Disease,MASP1,1
Crohn's Disease,MASP2,1
Crohn's Disease,MBL2,8
Crohn's Disease,MBP,1
Crohn's Disease,MCM9,1
Crohn's Disease,MCRS1,1
Crohn's Disease,MDM2,1
Crohn's Disease,MED24,1
Crohn's Disease,MEFV,12
Crohn's Disease,MGAT3,2
Crohn's Disease,MICA,1
Crohn's Disease,MICA,3
Crohn's Disease,MICAL1,1
Crohn's Disease,MICB,2
Crohn's Disease,MIF,7
Crohn's Disease,MIR122,1
Crohn's Disease,MIR124-1,1
Crohn's Disease,MIR146A,2
Crohn's Disease,MIR155,1
Crohn's Disease,MIR196A2,2
Crohn's Disease,MIR499,1
Crohn's Disease,MLH1,2
Crohn's Disease,MMD2,1
Crohn's Disease,MMP9,1
Crohn's Disease,MOCOS,1
Crohn's Disease,MORC4,1
Crohn's Disease,MOSC2,1
Crohn's Disease,MSH5,1
Crohn's Disease,MSH6,1
Crohn's Disease,MST1,13
Crohn's Disease,MST1R,2
Crohn's Disease,MT1A,1
Crohn's Disease,MT1B,1
Crohn's Disease,MT1E,1
Crohn's Disease,MT1F,1
Crohn's Disease,MT1G,1
Crohn's Disease,MT1H,1
Crohn's Disease,MT1M,1
Crohn's Disease,MT1X,1
Crohn's Disease,MT2A,1
Crohn's Disease,MT3,1
Crohn's Disease,MT4,1
Crohn's Disease,MTA2,1
Crohn's Disease,MTHFR,10
Crohn's Disease,MTR,2
Crohn's Disease,MTRR,2
Crohn's Disease,MUC19,7
Crohn's Disease,MVK,1
Crohn's Disease,MYO10,1
Crohn's Disease,MYO9B,9
Crohn's Disease,NAA25,1
Crohn's Disease,NAT1,2
Crohn's Disease,NAT2,8
Crohn's Disease,NAT8,1
Crohn's Disease,NCF2,1
Crohn's Disease,NCF4,9
Crohn's Disease,ND5,1
Crohn's Disease,NDFIP2,1
Crohn's Disease,NDST3,1
Crohn's Disease,NDUFAB1,1
Crohn's Disease,NDUFB3,1
Crohn's Disease,NELL1,3
Crohn's Disease,NFE2,1
Crohn's Disease,NFKB1,12
Crohn's Disease,NFKB2,1
Crohn's Disease,NFKBIA,6
Crohn's Disease,NFKBIL1,2
Crohn's Disease,NFKBIZ,1
Crohn's Disease,NICN1,1
Crohn's Disease,NKAP,1
Crohn's Disease,NKX2-3,22
Crohn's Disease,NLRP1,2
Crohn's Disease,NLRP10,1
Crohn's Disease,NLRP11,1
Crohn's Disease,NLRP12,1
Crohn's Disease,NLRP13,1
Crohn's Disease,NLRP14,1
Crohn's Disease,NLRP2,1
Crohn's Disease,NLRP3,14
Crohn's Disease,NLRP4,1
Crohn's Disease,NLRP5,1
Crohn's Disease,NLRP6,1
Crohn's Disease,NLRP7,2
Crohn's Disease,NLRP8,1
Crohn's Disease,NLRP9,1
Crohn's Disease,NOD1,20
Crohn's Disease,Nod2,1
Crohn's Disease,NOD2,433
Crohn's Disease,NOS2,1
Crohn's Disease,NOS2A,2
Crohn's Disease,NOS3,1
Crohn's Disease,NOTCH4,1
Crohn's Disease,NOX3,1
Crohn's Disease,NPSR1,1
Crohn's Disease,NQO1,1
Crohn's Disease,NR1D1,1
Crohn's Disease,NR1H2,1
Crohn's Disease,NR1H4,3
Crohn's Disease,NR1I2,8
Crohn's Disease,NR2E1,1
Crohn's Disease,NR2F2,1
Crohn's Disease,NR3C1,5
Crohn's Disease,NRAP,1
Crohn's Disease,NRAS,1
Crohn's Disease,NRG1,1
Crohn's Disease,NRIP1,1
Crohn's Disease,NRSN1,1
Crohn's Disease,NSF,1
Crohn's Disease,NT5DC1,1
Crohn's Disease,NT5E,1
Crohn's Disease,NUCB2,1
Crohn's Disease,NUDT15,11
Crohn's Disease,NUS1,1
Crohn's Disease,OCTN3,3
Crohn's Disease,OLIG3,2
Crohn's Disease,OPLAH,1
Crohn's Disease,OPRM1,1
Crohn's Disease,OR14L1P,1
Crohn's Disease,OR2AK2,1
Crohn's Disease,OR4M2,1
Crohn's Disease,OR7E12P,1
Crohn's Disease,ORMDL3,5
Crohn's Disease,OS9,1
Crohn's Disease,OSMR,1
Crohn's Disease,OSTM1,1
Crohn's Disease,OTUD3,1
Crohn's Disease,OVOS2,1
Crohn's Disease,P2RX7,1
Crohn's Disease,P4HA2,1
Crohn's Disease,PADI4,2
Crohn's Disease,PALB2,1
Crohn's Disease,PARD3,2
Crohn's Disease,PBX2,1
Crohn's Disease,PDCD1,2
Crohn's Disease,PDE2A,1
Crohn's Disease,PDLIM1,1
Crohn's Disease,PDPR,1
Crohn's Disease,PDSS2,1
Crohn's Disease,PDXDC1,1
Crohn's Disease,PECAM1,1
Crohn's Disease,PER3,2
Crohn's Disease,PGAP3,1
Crohn's Disease,PGLYRP1,1
Crohn's Disease,PGLYRP2,1
Crohn's Disease,PGLYRP3,1
Crohn's Disease,PGLYRP4,1
Crohn's Disease,PHF11,1
Crohn's Disease,PHGDH,1
Crohn's Disease,PHOX2B,4
Crohn's Disease,PIK3CA,1
Crohn's Disease,PKIB,1
Crohn's Disease,PLA2G2E,1
Crohn's Disease,PNPLA3,1
Crohn's Disease,POFUT2,1
Crohn's Disease,PON1,1
Crohn's Disease,PON2,1
Crohn's Disease,POPDC3,1
Crohn's Disease,POU2F1,3
Crohn's Disease,PPARG,7
Crohn's Disease,PPARGC1A,1
Crohn's Disease,PPIL6,1
Crohn's Disease,PPP2R3C,1
Crohn's Disease,PPP2R5E,1
Crohn's Disease,PRDM1,7
Crohn's Disease,PREP,1
Crohn's Disease,PRG2,1
Crohn's Disease,PRG3,1
Crohn's Disease,PRKCDBP,1
Crohn's Disease,PRKCQ,1
Crohn's Disease,PRODH,1
Crohn's Disease,PRPF31,1
Crohn's Disease,PSMA6,1
Crohn's Disease,PSMD3,1
Crohn's Disease,PSMG1,3
Crohn's Disease,PSORS1C1,1
Crohn's Disease,PSRC1,1
Crohn's Disease,PSTPIP2,1
Crohn's Disease,PTEN,1
Crohn's Disease,PTGER4,12
Crohn's Disease,PTGS2,4
Crohn's Disease,PTPN11,1
Crohn's Disease,PTPN2,26
Crohn's Disease,PTPN22,33
Crohn's Disease,PTPN6,1
Crohn's Disease,PTPRD,1
Crohn's Disease,PTRF,1
Crohn's Disease,PUS10,4
Crohn's Disease,QRSL1,1
Crohn's Disease,RAB32,1
Crohn's Disease,RAC1,2
Crohn's Disease,RAC2,1
Crohn's Disease,RAF1,1
Crohn's Disease,RAGE,1
Crohn's Disease,RAP1A,1
Crohn's Disease,RARRES2,1
Crohn's Disease,RAVER2,1
Crohn's Disease,REEP6,1
Crohn's Disease,REV3L,2
Crohn's Disease,RFC1,1
Crohn's Disease,RFX6,1
Crohn's Disease,RHOA,1
Crohn's Disease,RIPK2,2
Crohn's Disease,RNASE3,1
Crohn's Disease,RNASET2,1
Crohn's Disease,RNF123,1
Crohn's Disease,RNF186,3
Crohn's Disease,RNPEPL1,1
Crohn's Disease,ROS1,1
Crohn's Disease,RPF2,1
Crohn's Disease,RPL7,1
Crohn's Disease,RTKN2,1
Crohn's Disease,RUNX1,1
Crohn's Disease,RUNX3,1
Crohn's Disease,RXRA,2
Crohn's Disease,S100A10,1
Crohn's Disease,SBNO2,4
Crohn's Disease,SCD,1
Crohn's Disease,SCML4,1
Crohn's Disease,SCUBE3,1
Crohn's Disease,SDK1,1
Crohn's Disease,SELE,1
Crohn's Disease,SELL,1
Crohn's Disease,SEPHS1,1
Crohn's Disease,SEPSECS,1
Crohn's Disease,SERPINA1,1
Crohn's Disease,SERPINE1,3
Crohn's Disease,SESN1,1
Crohn's Disease,SFTPD,2
Crohn's Disease,SH2B1,1
Crohn's Disease,SLC11A1,10
Crohn's Disease,SLC15A1,1
Crohn's Disease,SLC16A10,2
Crohn's Disease,SLC16A9,1
Crohn's Disease,SLC17A5,2
Crohn's Disease,SLC22A1,1
Crohn's Disease,SLC22A16,1
Crohn's Disease,SLC22A23,7
Crohn's Disease,SLC22A4,52
Crohn's Disease,SLC22A5,44
Crohn's Disease,SLC25A15,1
Crohn's Disease,SLC26A3,1
Crohn's Disease,SLC2A9,1
Crohn's Disease,SLC39A8,2
Crohn's Disease,SLC6A4,2
